Receiver_1_inlet_temp,Receiver_2_particle_mass_flow,Operating_mode_3,Operating_mode_1,Operating_mode_2,Receiver_3_HTF_mass_flow,PC_efficiency,TES_V_hot_tank_initial,PC_power,Receiver_1_outlet_temp,PC_outlet_temp,DNI,Receiver_2_inlet_temp,Tower_HTF_outlet_temp,Receiver_2_outlet_temp,Receiver_3_inlet_temp,PC_mass_flow,Receiver_3_outlet_temp,HX_1_particle_outlet_temp,HX_2_particle_outlet_temp,HX_3_particle_outlet_temp,Receiver_1_HTF_mass_flow,Receiver_1_particle_mass_flow,Receiver_2_HTF_mass_flow,Receiver_3_particle_mass_flow,TES_discharge_mass_flow,Tower_HTF_inlet_temp,TES_hot_tank_temp,TES_cold_tank_temp,TES_charge_mass_flow,PC_inlet_temp
C,kg/hr,-,-,-,kg/hr,-,-,MWe,C,C,W/m^2,C,C,C,C,kg/hr,C,C,C,C,kg/hr,kg/hr,kg/hr,kg/hr,kg/hr,C,C,C,kg/hr,C
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.337222,543.337222,543.337222,0,0,0,0,0,561.200000,704.874861,543.275556,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,348,0,0,0,0,0,0,543.275556,543.275556,543.275556,0,0,0,0,0,561.200000,703.915347,543.214028,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,108,561.200000,561.200000,561.200000,561.200000,0,561.200000,543.214028,543.214028,543.214028,0,0,0,0,0,561.200000,702.959931,543.152708,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,151,561.200000,561.200000,561.200000,561.200000,0,561.200000,543.152708,543.152708,543.152708,0,0,0,0,0,561.200000,702.007153,543.091528,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,28,561.200000,561.200000,561.200000,561.200000,0,561.200000,543.091528,543.091528,543.091528,0,0,0,0,0,561.200000,701.058403,543.030590,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.030590,543.030590,543.030590,0,0,0,0,0,561.200000,700.112361,542.969792,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,50,561.200000,561.200000,561.200000,561.200000,0,561.200000,542.969792,542.969792,542.969792,0,0,0,0,0,561.200000,699.167639,542.908958,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,28,561.200000,561.200000,561.200000,561.200000,0,561.200000,542.908958,542.908958,542.908958,0,0,0,0,0,561.200000,698.222778,542.848021,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.848021,542.848021,542.848021,0,0,0,0,0,561.200000,697.277917,542.787014,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.787014,542.787014,542.787014,0,0,0,0,0,561.200000,696.332917,542.725868,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.725868,542.725868,542.725868,0,0,0,0,0,561.200000,695.387847,542.664618,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.664618,542.664618,542.664618,0,0,0,0,0,561.200000,694.444097,542.603403,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.603403,542.603403,542.603403,0,0,0,0,0,561.200000,693.500278,542.542049,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.542049,542.542049,542.542049,0,0,0,0,0,561.200000,692.556319,542.480590,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.480590,542.480590,542.480590,0,0,0,0,0,561.200000,691.612361,542.419028,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.419028,542.419028,542.419028,0,0,0,0,0,561.200000,690.668264,542.357361,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.357361,542.357361,542.357361,0,0,0,0,0,561.200000,689.725486,542.295694,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.295694,542.295694,542.295694,0,0,0,0,0,561.200000,688.784028,542.234063,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.234063,542.234063,542.234063,0,0,0,0,0,561.200000,687.843819,542.172396,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.172396,542.172396,542.172396,0,0,0,0,0,561.200000,686.906319,542.110868,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.110868,542.110868,542.110868,0,0,0,0,0,561.200000,685.970069,542.049375,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,542.049375,542.049375,542.049375,0,0,0,0,0,561.200000,685.035139,541.987847,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,541.987847,541.987847,541.987847,0,0,0,0,0,561.200000,684.101458,541.926354,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,541.926354,541.926354,541.926354,0,0,0,0,0,561.200000,683.169028,541.864861,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,541.864861,541.864861,541.864861,0,0,0,0,0,561.200000,682.237917,541.803368,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,362,0,0,0,0,0,0,541.803368,541.803368,541.803368,0,0,0,0,0,561.200000,681.309444,541.741979,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,214,561.200000,561.200000,561.200000,561.200000,0,561.200000,541.741979,541.741979,541.741979,0,0,0,0,0,561.200000,680.386319,541.680972,0,700
561.200017,744073.244444,0,2,32,492909.120000,0,0,0,631.905451,537.499983,400,558.449340,558.141163,631.905451,558.393663,498.362943,631.905451,615.122292,615.177951,615.430486,673746.062222,786321.351111,637546.524444,575268.551111,498.033580,561.200017,683.359392,541.677378,584.906430,689.943854
171.797917,238328.266667,0,3,1,187519.360000,0,0.000230,0,223.471997,537.500000,201,169.314219,169.151580,223.471997,169.205278,176.216731,223.471997,595.866302,595.975243,596.028941,241830.844444,282239.448889,204206.488889,218852.817778,0,561.200000,687.495868,541.673594,0,695.051476
561.200000,0,0,31,0,0,0,0.000230,0,561.200000,537.500000,60,561.200000,561.200000,561.200000,561.200000,4.000045,561.200000,541.660729,541.660729,541.660729,0,0,0,0,4.000045,561.200000,686.374514,541.604931,0,683.679375
560.634275,1486881.964444,11,2,32,1309936.755556,0.025915,0.001306,5.497138,661.850221,535.856356,510.999993,557.867841,557.716287,661.850221,557.674089,701.756983,661.850221,645.579345,645.773099,645.730864,1446017.520000,1687624.168889,1274014.328889,1528806.444444,701.588015,560.634275,693.086141,541.648772,1306.475753,690.875273
0,0,0,17,0,0,0.711406,0.026267,50.006545,0,437.504444,0,0,0,0,0,460.791151,0,541.637465,541.637465,541.637465,0,0,0,0,460.791151,561.200000,697.793333,539.488785,0,682.084931
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.488785,539.488785,539.488785,0,0,0,0,0,561.200000,696.849028,539.428125,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,27,561.200000,561.200000,561.200000,561.200000,0,561.200000,539.428125,539.428125,539.428125,0,0,0,0,0,561.200000,695.904653,539.367361,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.367361,539.367361,539.367361,0,0,0,0,0,561.200000,694.960139,539.306493,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.306493,539.306493,539.306493,0,0,0,0,0,561.200000,694.017014,539.245660,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.245660,539.245660,539.245660,0,0,0,0,0,561.200000,693.075139,539.184792,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.184792,539.184792,539.184792,0,0,0,0,0,561.200000,692.134514,539.123958,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.123958,539.123958,539.123958,0,0,0,0,0,561.200000,691.195208,539.063125,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.063125,539.063125,539.063125,0,0,0,0,0,561.200000,690.257222,539.002326,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,539.002326,539.002326,539.002326,0,0,0,0,0,561.200000,689.321875,538.941597,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.941597,538.941597,538.941597,0,0,0,0,0,561.200000,688.387778,538.880903,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.880903,538.880903,538.880903,0,0,0,0,0,561.200000,687.456389,538.820347,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.820347,538.820347,538.820347,0,0,0,0,0,561.200000,686.526250,538.759757,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,538.759757,538.759757,538.759757,0,0,0,0,0,561.200000,685.597361,538.699201,0,700
