a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
492388.088889,636359.822222,635190.755556,50,0,0,0.533534,0.671302,0.473445,0.486937,0,0,0,0,0,0,0,0,0,-1.939680,0,0,0,0,0,0,0,0,0,551.264063,551.264063,551.264063,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,551.201563,692.776111,11
500747.591111,674417.991111,588779.733333,28,0,0,0.527690,0.663840,0.428858,0.525102,0,0,0,0,0,0,0,0,0,-1.333530,0,0,0,0,0,0,0,0,0,551.201563,551.201563,551.201563,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,551.138993,691.198889,10
515092.160000,698691.342222,550152.462222,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,-0.606150,0,0,0,0,0,0,0,0,0,551.138993,551.138993,551.138993,700,537.500000,0,0,0,0,0,0,551.076319,689.622986,9
522836.551111,675887.502222,565248.426667,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.076319,551.076319,551.076319,700,537.500000,0,0,0,0,0,0,551.013507,688.048403,8
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.013507,551.013507,551.013507,700,537.500000,0,0,0,0,0,0,550.950625,686.475139,7
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.950625,550.950625,550.950625,700,537.500000,0,0,0,0,0,0,550.887708,684.905556,7
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.887708,550.887708,550.887708,700,537.500000,0,0,0,0,0,0,550.824722,683.337222,6
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.824722,550.824722,550.824722,700,537.500000,0,0,0,0,0,0,550.761597,681.770208,5
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.761597,550.761597,550.761597,700,537.500000,0,0,0,0,0,0,550.698368,680.204583,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.698368,550.698368,550.698368,700,537.500000,0,0,0,0,0,0,550.635035,678.640208,3
