type,power,tht,az,zen,sunid,eta1,eta2,eta3,a1,a2,a3
1,66.8,60,233.4556,81.4148,43,0.4322,0.3586,0.4623,34268,39762,31552
1,66.8,95,70.425,76.8492,0,0.4033,0.4814,0.3582,31405,25880,35657
1,66.8,95,85.3915,52.8545,1,0.6071,0.702,0.5555,31335,27090,34516
1,66.8,95,105.5788,28.4391,2,0.6765,0.7334,0.6555,31490,29007,32445
1,66.8,95,180.000005,11.4294,3,0.7024,0.7157,0.715,31412,30699,30830
1,66.8,95,254.415,28.4343,4,0.6757,0.6566,0.7332,31529,32336,29077
1,66.8,95,274.6048,52.8492,5,0.614,0.5562,0.7062,31412,34330,27199
1,66.8,95,289.571,76.8447,6,0.413,0.3616,0.4917,31319,35525,26097
1,66.8,95,76.173,80.5559,7,0.3141,0.3585,0.2928,31591,27245,34105
1,66.8,95,92.6509,56.1569,8,0.627,0.7123,0.5537,30986,27036,34920
1,66.8,95,116.5394,32.3797,9,0.6929,0.7419,0.6614,31164,29123,32654
1,66.8,95,180.000005,18.2432,10,0.7113,0.7274,0.7256,31459,30668,30815
1,66.8,95,243.393,32.407,11,0.686,0.6662,0.7426,31467,32328,29147
1,66.8,95,267.2524,56.2034,12,0.6244,0.5561,0.7192,31195,34625,27121
1,66.8,95,283.709,80.6307,13,0.3173,0.2938,0.3658,31661,33888,27393
1,66.8,95,98.8891,59.5785,14,0.6307,0.723,0.5545,30970,26834,35137
1,66.8,95,124.6163,36.7119,15,0.6977,0.7513,0.6698,31374,29015,32553
1,66.8,95,180.000005,24.546,16,0.7202,0.7357,0.732,31420,30660,30862
1,66.8,95,235.3146,36.7534,17,0.6958,0.6717,0.753,31529,32351,29061
1,66.8,95,260.9989,59.6425,18,0.6286,0.5612,0.7284,31180,34695,27067
1,66.8,95,104.9787,63.4725,19,0.6351,0.7293,0.5562,30924,26811,35207
1,66.8,95,131.4383,41.7413,20,0.6997,0.7603,0.6742,31374,28945,32623
1,66.8,95,180.000005,31.1691,21,0.7261,0.7407,0.7384,31405,30683,30854
1,66.8,95,228.4937,41.7875,22,0.7006,0.6761,0.7581,31405,32429,29108
1,66.8,95,254.9035,63.5441,23,0.6356,0.5622,0.7358,31234,34757,26950
1,66.8,95,110.3156,67.3367,24,0.6217,0.7102,0.5403,30869,26850,35223
1,66.8,95,136.6854,46.7518,25,0.7099,0.7655,0.6772,31343,28929,32670
1,66.8,95,179.96573,37.3717,26,0.7295,0.7463,0.743,31444,30660,30838
1,66.8,95,223.2577,46.8026,27,0.7081,0.6783,0.7649,31397,32476,29069
1,66.8,95,249.5732,67.415,28,0.621,0.5484,0.7187,31226,34687,27028
1,66.8,95,115.8588,71.7842,29,0.5852,0.6591,0.5162,30955,27160,34827
1,66.8,95,141.5371,52.5042,30,0.7091,0.7646,0.677,31218,28991,32732
1,66.8,95,179.97203,44.2045,31,0.7402,0.7504,0.7453,31343,30644,30955
1,66.8,95,218.4204,52.5555,32,0.7114,0.6838,0.764,31343,32390,29209
1,66.8,95,244.0448,71.8635,33,0.5878,0.5147,0.6729,31032,34625,27284
1,66.8,95,121.0339,76.3037,34,0.5149,0.5704,0.4598,30947,27641,34354
1,66.8,95,145.6153,58.3232,35,0.7139,0.7641,0.6761,31156,28953,32833
1,66.8,95,180.000005,50.9155,36,0.7341,0.7467,0.7441,31288,30683,30970
1,66.8,95,214.3497,58.3627,37,0.7141,0.6838,0.7667,31350,32382,29209
1,66.8,95,238.8858,76.3673,38,0.5149,0.4593,0.5766,31164,33911,27866
1,66.8,95,126.541,81.4167,39,0.33,0.3313,0.3212,31118,30272,31552
1,66.8,95,149.5643,64.8729,40,0.7032,0.7444,0.668,31187,29100,32654
1,66.8,95,180.000005,58.3033,41,0.7341,0.7427,0.7424,31312,30668,30962
1,66.8,95,210.4317,64.8717,42,0.7021,0.6682,0.7483,31265,32351,29325
1,66.8,95,233.4556,81.4148,43,0.3313,0.3178,0.3442,31374,31513,30054
1,66.8,77,70.425,76.8492,0,0.4111,0.505,0.3476,32685,26012,38629
1,66.8,77,85.3915,52.8545,1,0.5848,0.6719,0.5223,32817,27959,36550
1,66.8,77,105.5788,28.4391,2,0.6496,0.6993,0.6167,32809,30210,34307
1,66.8,77,180.000005,11.4294,3,0.6627,0.6804,0.6786,33011,32041,32274
1,66.8,77,254.415,28.4343,4,0.6387,0.6189,0.7013,33003,34097,30225
1,66.8,77,274.6048,52.8492,5,0.5855,0.5191,0.6866,32809,36402,28114
1,66.8,77,289.571,76.8447,6,0.4154,0.3479,0.5188,32716,38513,26097
1,66.8,77,76.173,80.5559,7,0.3397,0.4019,0.2936,32522,26935,37869
1,66.8,77,92.6509,56.1569,8,0.5968,0.6905,0.5234,32608,27765,36953
1,66.8,77,116.5394,32.3797,9,0.6544,0.7121,0.6236,32778,30202,34346
1,66.8,77,180.000005,18.2432,10,0.6759,0.6909,0.689,32941,32095,32289
1,66.8,77,243.393,32.407,11,0.6592,0.6234,0.7085,32840,34121,30365
1,66.8,77,267.2524,56.2034,12,0.593,0.5217,0.6961,32483,36821,28021
1,66.8,77,283.709,80.6307,13,0.3438,0.2941,0.4118,32608,37512,27207
1,66.8,77,98.8891,59.5785,14,0.6073,0.7031,0.5228,32390,27703,37232
1,66.8,77,124.6163,36.7119,15,0.6712,0.7167,0.6308,32770,30186,34369
1,66.8,77,180.000005,24.546,16,0.6864,0.6995,0.6951,32856,32111,32359
1,66.8,77,235.3146,36.7534,17,0.6676,0.6361,0.7242,32840,34136,30349
