a_sf1,a_sf2,a_sf3,beam,defocus,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,htf_pump_power,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,m_dot_pc,m_dot_tes_dc,m_dot_tes_ch,p_cooling_tower_tot,p_cycle,p_out_net,p_tower_pump,pparasi,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,q_pb,q_thermal,q_startup,tank_losses,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,-,MWh,-,-,-,-,-,-,-,-,-,MW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,1,99.439505,0.486321,0,0,0,0,0,0,0,0,1.960028,0,0,0,0,0.298372,0.298372,0,0.083534,96.112769,94.069210,0,0,0,199.197934,0,0,0,0,0,0,0,197.632535,0,0,3.116934,558.651701,558.651701,558.651701,688.208958,540.794757,0,0,0,0,0,0,558.480451,703.738403,6
0,0,0,0,1,0.000000,0.430220,0,0,0,0,0,0,0,0,1.002175,0,0,0,0,0.152578,0.152578,0,0,48.050065,47.047886,0,0,0,113.402934,0,0,0,0,0,0,0,111.687187,0,0,3.113798,558.480451,558.480451,558.480451,687.746111,523.602604,0,0,0,0,0,0,557.888438,702.642778,6
0,0,0,0,1,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.109827,557.888438,557.888438,557.888438,684.145000,546.100000,0,0,0,0,0,0,557.834097,701.272361,6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0,0,0,-0.000000,0,0,0,0.000000,0,0,0,0,0,0,0,0.000000,0,0,2.204730,557.834097,557.834097,557.834097,890.625903,546.100000,0,0,0,0,0,0,557.834097,699.530417,6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.106925,557.834097,557.834097,557.834097,684.145000,546.100000,0,0,0,0,0,0,557.779653,698.164167,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.103387,557.779653,557.779653,557.779653,684.145000,546.100000,0,0,0,0,0,0,557.725243,696.800625,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099857,557.725243,557.725243,557.725243,684.145000,546.100000,0,0,0,0,0,0,557.670833,695.439722,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.101315,557.670833,557.670833,557.670833,684.145000,546.100000,0,0,0,0,0,0,557.616319,694.079583,4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.097792,557.616319,557.616319,557.616319,684.145000,546.100000,0,0,0,0,0,0,557.561806,692.722083,4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.094277,557.561806,557.561806,557.561806,684.145000,546.100000,0,0,0,0,0,0,557.507326,691.367292,4
0,0,0,348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.085786,557.507326,557.507326,557.507326,684.145000,546.100000,0,0,0,0,0,0,557.452917,690.017083,5
